airline_iata,airline_name,source_iata,source_city,destination_iata,destination_city,route,stops,aircraft_type,aircraft_capacity,price_usd
QR,Qatar Airways,DXB,Dubai,LHR,London,DXB-LHR,0,A350-900,315,834.79
LX,SWISS,ZRH,Zurich,DEN,Denver,ZRH-DEN,0,B787-9,290,722.34
EK,Emirates,ORD,Chicago,DXB,Dubai,ORD-DXB,1,A350-900,315,1231.61
AA,American Airlines,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B787-9,290,815.56
BA,British Airways,LHR,London,DXB,Dubai,LHR-DXB,0,B787-9,290,1006.18
NZ,Air New Zealand,NRT,Tokyo,LAX,Los Angeles,NRT-LAX,0,A380-800,489,1084.79
AA,American Airlines,AMS,Amsterdam,ATL,Atlanta,AMS-ATL,0,B787-9,290,963.23
AA,American Airlines,LAX,Los Angeles,LHR,London,LAX-LHR,0,A350-900,315,1430.15
U2,easyJet,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B787-9,290,1380.37
KL,KLM,AMS,Amsterdam,JNB,Johannesburg,AMS-JNB,0,B777-300ER,360,613.92
IB,Iberia,JNB,Johannesburg,GIG,Rio de Janeiro,JNB-GIG,1,A321XLR,200,517.54
AZ,ITA Airways,FCO,Rome,STN,London,FCO-STN,0,A320,180,209.11
EY,Etihad Airways,AUH,Abu Dhabi,BKK,Bangkok,AUH-BKK,1,B787-9,290,1095.23
AI,Air India,TPE,Taipei,KUL,Kuala Lumpur,TPE-KUL,1,A220-300,145,136.27
QF,Qantas,LHR,London,JFK,New York,LHR-JFK,0,A350-900,315,1072.56
SV,Saudia,JED,Jeddah,ICN,Seoul,JED-ICN,1,A380-800,489,1182.27
FR,Ryanair,HND,Tokyo,AUH,Abu Dhabi,HND-AUH,1,B787-9,290,1201.33
EK,Emirates,DXB,Dubai,LTN,London,DXB-LTN,0,A350-900,315,977.16
CX,Cathay Pacific,RUH,Riyadh,HKG,Hong Kong,RUH-HKG,1,B787-9,290,727.99
U2,easyJet,GVA,Geneva,LHR,London,GVA-LHR,1,A320,180,95.26
LX,SWISS,SIN,Singapore,GVA,Geneva,SIN-GVA,1,A350-900,315,531.73
CX,Cathay Pacific,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,B777-300ER,360,1292.49
NZ,Air New Zealand,DXB,Dubai,LHR,London,DXB-LHR,0,B777-300ER,360,1022.54
KE,Korean Air,LHR,London,JFK,New York,LHR-JFK,0,A350-900,315,653.68
SV,Saudia,CDG,Paris,LAX,Los Angeles,CDG-LAX,0,B787-9,290,1599.15
LA,LATAM Airlines,ICN,Seoul,GRU,Sao Paulo,ICN-GRU,1,A350-900,315,892.14
QR,Qatar Airways,DOH,Doha,MAD,Madrid,DOH-MAD,0,A380-800,489,1058.14
AI,Air India,BOM,Mumbai,DEL,Delhi,BOM-DEL,0,A321,220,168.01
U2,easyJet,HND,Tokyo,LGW,London,HND-LGW,1,A380-800,489,781.64
IB,Iberia,MAD,Madrid,DXB,Dubai,MAD-DXB,0,B777-300ER,360,831.15
AZ,ITA Airways,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,B777-300ER,360,1213.71
AF,Air France,JFK,New York,AMS,Amsterdam,JFK-AMS,0,A350-900,315,1790.94
SV,Saudia,JED,Jeddah,BCN,Barcelona,JED-BCN,0,A380-800,489,897.0
NZ,Air New Zealand,AKL,Auckland,KUL,Kuala Lumpur,AKL-KUL,0,B777-300ER,360,1258.04
KE,Korean Air,LHR,London,DXB,Dubai,LHR-DXB,0,B787-9,290,1691.09
SQ,Singapore Airlines,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B777-300ER,360,928.38
AC,Air Canada,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,B787-9,290,1054.36
LX,SWISS,ZRH,Zurich,HND,Tokyo,ZRH-HND,1,B787-9,290,1176.42
IB,Iberia,MAD,Madrid,FRA,Frankfurt,MAD-FRA,0,A220-300,145,101.02
NH,ANA,HND,Tokyo,IST,Istanbul,HND-IST,0,B777-300ER,360,1675.88
AV,Avianca,BOG,Bogota,BKK,Bangkok,BOG-BKK,1,A350-900,315,773.3
EY,Etihad Airways,AUH,Abu Dhabi,YUL,Montreal,AUH-YUL,1,A380-800,489,557.37
U2,easyJet,LAX,Los Angeles,CDG,Paris,LAX-CDG,0,A350-900,315,1281.07
FR,Ryanair,BGY,Milan,YVR,Vancouver,BGY-YVR,0,B777-300ER,360,1769.4
IB,Iberia,NRT,Tokyo,ATL,Atlanta,NRT-ATL,1,A350-900,315,1037.48
CX,Cathay Pacific,DXB,Dubai,LHR,London,DXB-LHR,0,B777-300ER,360,930.99
CX,Cathay Pacific,LIN,Milan,HKG,Hong Kong,LIN-HKG,1,A380-800,489,1499.19
AA,American Airlines,SFO,San Francisco,CLT,Charlotte,SFO-CLT,1,A320,180,248.29
NZ,Air New Zealand,DUB,Dublin,AKL,Auckland,DUB-AKL,1,B787-9,290,654.69
DL,Delta Air Lines,LHR,London,LAX,Los Angeles,LHR-LAX,0,B787-9,290,1191.42
CX,Cathay Pacific,HKG,Hong Kong,DXB,Dubai,HKG-DXB,0,B787-9,290,1210.42
KE,Korean Air,AUH,Abu Dhabi,CDG,Paris,AUH-CDG,1,A350-900,315,1719.48
EY,Etihad Airways,AUH,Abu Dhabi,SFO,San Francisco,AUH-SFO,0,B787-9,290,1693.06
QR,Qatar Airways,CDG,Paris,FRA,Frankfurt,CDG-FRA,1,A320,180,208.5
AZ,ITA Airways,FCO,Rome,DOH,Doha,FCO-DOH,1,B787-9,290,1347.17
AV,Avianca,FRA,Frankfurt,SFO,San Francisco,FRA-SFO,0,A350-900,315,759.98
AF,Air France,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B777-300ER,360,1054.91
CX,Cathay Pacific,DOH,Doha,JFK,New York,DOH-JFK,0,B777-300ER,360,1414.88
AZ,ITA Airways,FCO,Rome,CAI,Cairo,FCO-CAI,0,B787-9,290,917.7
JL,Japan Airlines,DOH,Doha,JFK,New York,DOH-JFK,0,B787-9,290,860.96
JL,Japan Airlines,SYD,Sydney,DXB,Dubai,SYD-DXB,0,B777-300ER,360,1218.63
CX,Cathay Pacific,SYD,Sydney,DXB,Dubai,SYD-DXB,0,B787-9,290,1618.02
FR,Ryanair,STN,London,LIM,Lima,STN-LIM,0,B787-9,290,994.26
LX,SWISS,JFK,New York,LHR,London,JFK-LHR,0,B777-300ER,360,1466.92
EY,Etihad Airways,SYD,Sydney,MUC,Munich,SYD-MUC,1,A380-800,489,1023.99
AZ,ITA Airways,LHR,London,JFK,New York,LHR-JFK,0,A350-900,315,608.29
LA,LATAM Airlines,LTN,London,DFW,Dallas,LTN-DFW,1,B777-300ER,360,864.57
BA,British Airways,LHR,London,ADD,Addis Ababa,LHR-ADD,0,A350-900,315,1787.24
AA,American Airlines,BOM,Mumbai,YUL,Montreal,BOM-YUL,1,A380-800,489,1000.95
EY,Etihad Airways,SYD,Sydney,SCL,Santiago,SYD-SCL,1,A350-900,315,684.78
LH,Lufthansa,MUC,Munich,BCN,Barcelona,MUC-BCN,0,B737-800,189,278.22
LH,Lufthansa,JFK,New York,FRA,Frankfurt,JFK-FRA,0,A380-800,489,742.55
AI,Air India,DXB,Dubai,NBO,Nairobi,DXB-NBO,1,B787-8,242,684.42
IB,Iberia,CPT,Cape Town,LAX,Los Angeles,CPT-LAX,1,A380-800,489,1445.13
AC,Air Canada,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B787-9,290,751.35
KL,KLM,FRA,Frankfurt,AMS,Amsterdam,FRA-AMS,1,B737-800,189,176.97
BR,EVA Air,TPE,Taipei,ORD,Chicago,TPE-ORD,0,B777-300ER,360,609.63
SV,Saudia,CDG,Paris,YUL,Montreal,CDG-YUL,0,A380-800,489,1513.08
AA,American Airlines,JFK,New York,DOH,Doha,JFK-DOH,0,A350-900,315,824.23
AV,Avianca,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,B777-300ER,360,1793.11
AA,American Airlines,CLT,Charlotte,ZRH,Zurich,CLT-ZRH,1,A350-900,315,1103.14
NH,ANA,BCN,Barcelona,NRT,Tokyo,BCN-NRT,1,B787-9,290,792.17
AA,American Airlines,JFK,New York,DEN,Denver,JFK-DEN,0,A321,220,130.46
DL,Delta Air Lines,JFK,New York,YUL,Montreal,JFK-YUL,0,A321,220,284.4
IB,Iberia,MAD,Madrid,BOG,Bogota,MAD-BOG,0,B787-9,290,1229.97
AC,Air Canada,AMS,Amsterdam,ATL,Atlanta,AMS-ATL,0,A350-900,315,673.62
AZ,ITA Airways,FCO,Rome,LIN,Milan,FCO-LIN,0,A220-300,145,221.65
CX,Cathay Pacific,LTN,London,MAD,Madrid,LTN-MAD,1,B737-800,189,275.22
AV,Avianca,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,A350-900,315,1493.71
NZ,Air New Zealand,AMS,Amsterdam,JFK,New York,AMS-JFK,0,A350-900,315,1327.83
AZ,ITA Airways,SCL,Santiago,LTN,London,SCL-LTN,1,A380-800,489,918.7
IB,Iberia,LAX,Los Angeles,NRT,Tokyo,LAX-NRT,0,B787-9,290,1524.56
QF,Qantas,STN,London,ORD,Chicago,STN-ORD,1,A350-900,315,975.22
SQ,Singapore Airlines,YYZ,Toronto,LHR,London,YYZ-LHR,0,B777-300ER,360,1301.19
AI,Air India,BOM,Mumbai,LHR,London,BOM-LHR,0,B787-9,290,1491.1
SV,Saudia,RUH,Riyadh,YUL,Montreal,RUH-YUL,0,B787-9,290,1660.85
QR,Qatar Airways,GVA,Geneva,DOH,Doha,GVA-DOH,1,A350-900,315,691.8
EY,Etihad Airways,SYD,Sydney,SIN,Singapore,SYD-SIN,0,B777-300ER,360,1513.19
CX,Cathay Pacific,HKG,Hong Kong,AUH,Abu Dhabi,HKG-AUH,0,A350-900,315,1260.59
IB,Iberia,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,B777-300ER,360,1615.31
NH,ANA,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B777-300ER,360,1460.79
TK,Turkish Airlines,IST,Istanbul,DUB,Dublin,IST-DUB,0,A220-300,145,94.9
LH,Lufthansa,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B787-9,290,1760.98
QF,Qantas,SYD,Sydney,BCN,Barcelona,SYD-BCN,0,B777-300ER,360,1553.27
EK,Emirates,ATL,Atlanta,DXB,Dubai,ATL-DXB,1,A350-900,315,1356.85
SV,Saudia,MXP,Milan,LAX,Los Angeles,MXP-LAX,1,B787-9,290,1001.06
LH,Lufthansa,VIE,Vienna,AUH,Abu Dhabi,VIE-AUH,0,A380-800,489,604.32
DL,Delta Air Lines,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,A350-900,315,1714.35
AC,Air Canada,YVR,Vancouver,CDG,Paris,YVR-CDG,0,A380-800,489,910.6
AI,Air India,DEL,Delhi,GIG,Rio de Janeiro,DEL-GIG,0,A350-900,315,742.92
TK,Turkish Airlines,JFK,New York,FRA,Frankfurt,JFK-FRA,0,A350-900,315,646.91
U2,easyJet,CDG,Paris,DUB,Dublin,CDG-DUB,0,A321,220,287.25
EY,Etihad Airways,LAX,Los Angeles,CDG,Paris,LAX-CDG,0,B787-9,290,1588.09
EY,Etihad Airways,AUH,Abu Dhabi,IST,Istanbul,AUH-IST,0,B787-9,290,1326.19
AF,Air France,ORY,Paris,BGY,Milan,ORY-BGY,0,B737-800,189,151.4
LX,SWISS,LIM,Lima,GVA,Geneva,LIM-GVA,1,B777-300ER,360,1185.67
SQ,Singapore Airlines,SIN,Singapore,NBO,Nairobi,SIN-NBO,0,B787-9,290,1026.58
AZ,ITA Airways,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,B777-300ER,360,1244.87
BA,British Airways,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,B787-9,290,1734.79
LX,SWISS,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B777-300ER,360,1261.05
AZ,ITA Airways,FCO,Rome,MEL,Melbourne,FCO-MEL,1,A380-800,489,1229.11
KE,Korean Air,SFO,San Francisco,FRA,Frankfurt,SFO-FRA,0,A380-800,489,1471.54
CX,Cathay Pacific,HKG,Hong Kong,IAH,Houston,HKG-IAH,0,B777-300ER,360,1195.15
LX,SWISS,GVA,Geneva,FCO,Rome,GVA-FCO,0,A220-300,145,120.71
QR,Qatar Airways,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,A380-800,489,938.45
KE,Korean Air,ICN,Seoul,RUH,Riyadh,ICN-RUH,0,B777-300ER,360,1073.04
AZ,ITA Airways,LIN,Milan,GIG,Rio de Janeiro,LIN-GIG,1,A350-900,315,857.72
AZ,ITA Airways,JFK,New York,GIG,Rio de Janeiro,JFK-GIG,1,A380-800,489,1394.04
AC,Air Canada,HND,Tokyo,DUB,Dublin,HND-DUB,1,B787-9,290,1498.93
QF,Qantas,LHR,London,YYZ,Toronto,LHR-YYZ,0,B787-9,290,921.19
KE,Korean Air,ICN,Seoul,IAH,Houston,ICN-IAH,1,B787-9,290,1418.37
U2,easyJet,LGW,London,FCO,Rome,LGW-FCO,0,B737-800,189,267.6
LH,Lufthansa,ZRH,Zurich,YVR,Vancouver,ZRH-YVR,0,A380-800,489,1174.69
BA,British Airways,LGW,London,BGY,Milan,LGW-BGY,0,A321,220,92.29
UA,United Airlines,NBO,Nairobi,SIN,Singapore,NBO-SIN,1,B787-9,290,1080.96
AV,Avianca,BOG,Bogota,SFO,San Francisco,BOG-SFO,0,A380-800,489,628.8
AV,Avianca,DOH,Doha,LHR,London,DOH-LHR,0,A380-800,489,944.22
AF,Air France,SLC,Salt Lake City,CDG,Paris,SLC-CDG,1,A380-800,489,1528.91
LA,LATAM Airlines,LAX,Los Angeles,GRU,Sao Paulo,LAX-GRU,1,B787-9,290,806.04
BA,British Airways,KUL,Kuala Lumpur,ADD,Addis Ababa,KUL-ADD,1,B777-300ER,360,1631.38
EY,Etihad Airways,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,A350-900,315,1319.53
NZ,Air New Zealand,SFO,San Francisco,AKL,Auckland,SFO-AKL,1,A380-800,489,911.96
CX,Cathay Pacific,HKG,Hong Kong,MUC,Munich,HKG-MUC,0,B777-300ER,360,1199.1
IB,Iberia,CLT,Charlotte,BOM,Mumbai,CLT-BOM,1,B777-300ER,360,1248.85
BA,British Airways,CDG,Paris,YUL,Montreal,CDG-YUL,0,B787-9,290,1533.34
NZ,Air New Zealand,NRT,Tokyo,AKL,Auckland,NRT-AKL,1,A350-900,315,1383.93
U2,easyJet,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,A380-800,489,1112.94
SV,Saudia,SIN,Singapore,LHR,London,SIN-LHR,0,B777-300ER,360,753.04
LA,LATAM Airlines,GRU,Sao Paulo,BNE,Brisbane,GRU-BNE,0,A380-800,489,1177.55
KL,KLM,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,A380-800,489,765.87
NZ,Air New Zealand,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,A350-900,315,1246.5
LH,Lufthansa,EWR,Newark,MSP,Minneapolis,EWR-MSP,1,A220-300,145,181.32
BA,British Airways,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,A380-800,489,1573.55
QF,Qantas,DOH,Doha,LHR,London,DOH-LHR,0,A350-900,315,603.44
EK,Emirates,DXB,Dubai,SLC,Salt Lake City,DXB-SLC,0,B787-9,290,760.31
AC,Air Canada,EWR,Newark,ADD,Addis Ababa,EWR-ADD,1,B787-9,290,1544.07
SV,Saudia,JED,Jeddah,ATL,Atlanta,JED-ATL,1,A350-900,315,1569.76
AA,American Airlines,PHL,Philadelphia,MEL,Melbourne,PHL-MEL,0,A380-800,489,667.04
EK,Emirates,JFK,New York,LHR,London,JFK-LHR,0,A350-900,315,771.69
JL,Japan Airlines,HND,Tokyo,LGW,London,HND-LGW,0,B787-9,290,664.9
QR,Qatar Airways,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,B787-9,290,1604.92
EY,Etihad Airways,NRT,Tokyo,HKG,Hong Kong,NRT-HKG,1,A321,220,74.45
BA,British Airways,DXB,Dubai,LHR,London,DXB-LHR,0,A380-800,489,1492.27
UA,United Airlines,EWR,Newark,SLC,Salt Lake City,EWR-SLC,0,B737-800,189,183.44
U2,easyJet,FRA,Frankfurt,DXB,Dubai,FRA-DXB,0,B787-9,290,1657.39
TK,Turkish Airlines,ORD,Chicago,LHR,London,ORD-LHR,0,B787-9,290,792.42
BR,EVA Air,TPE,Taipei,DUB,Dublin,TPE-DUB,1,A380-800,489,1513.3
QF,Qantas,MEL,Melbourne,MXP,Milan,MEL-MXP,1,B777-300ER,360,1307.32
AA,American Airlines,DFW,Dallas,TPE,Taipei,DFW-TPE,0,A350-900,315,1053.07
NZ,Air New Zealand,LGW,London,AKL,Auckland,LGW-AKL,1,A350-900,315,598.52
EY,Etihad Airways,AUH,Abu Dhabi,BOG,Bogota,AUH-BOG,1,A321XLR,200,514.02
EK,Emirates,DXB,Dubai,LIN,Milan,DXB-LIN,1,A380-800,489,1201.73
TK,Turkish Airlines,LHR,London,DXB,Dubai,LHR-DXB,0,B787-9,290,1534.56
LX,SWISS,NBO,Nairobi,GVA,Geneva,NBO-GVA,1,B777-300ER,360,1072.2
NZ,Air New Zealand,AKL,Auckland,VIE,Vienna,AKL-VIE,0,B787-9,290,1262.03
KE,Korean Air,GIG,Rio de Janeiro,ICN,Seoul,GIG-ICN,1,B787-9,290,1098.44
TK,Turkish Airlines,IST,Istanbul,JFK,New York,IST-JFK,0,A380-800,489,1732.21
NH,ANA,CDG,Paris,AKL,Auckland,CDG-AKL,1,B787-9,290,1592.99
AI,Air India,DEL,Delhi,BGY,Milan,DEL-BGY,1,B777-300ER,360,1652.46
AI,Air India,GIG,Rio de Janeiro,BOM,Mumbai,GIG-BOM,1,B787-9,290,1096.22
U2,easyJet,DEL,Delhi,CDG,Paris,DEL-CDG,1,A350-900,315,1118.72
AI,Air India,BOM,Mumbai,BNE,Brisbane,BOM-BNE,0,B787-9,290,1155.73
AA,American Airlines,JFK,New York,CDG,Paris,JFK-CDG,0,B787-9,290,858.78
AF,Air France,AMS,Amsterdam,JFK,New York,AMS-JFK,0,A350-900,315,1756.4
BA,British Airways,LHR,London,STN,London,LHR-STN,0,B737-800,189,178.45
BR,EVA Air,TPE,Taipei,JNB,Johannesburg,TPE-JNB,1,A380-800,489,1247.26
SQ,Singapore Airlines,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B787-9,290,1793.29
KL,KLM,AMS,Amsterdam,DUB,Dublin,AMS-DUB,0,A320,180,257.04
KE,Korean Air,CDG,Paris,JFK,New York,CDG-JFK,0,B787-9,290,803.66
AC,Air Canada,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,B777-300ER,360,1035.99
SV,Saudia,RUH,Riyadh,YVR,Vancouver,RUH-YVR,1,B787-9,290,1116.39
FR,Ryanair,BGY,Milan,SCL,Santiago,BGY-SCL,1,B777-300ER,360,1645.38
IB,Iberia,FRA,Frankfurt,DXB,Dubai,FRA-DXB,0,A380-800,489,1081.13
UA,United Airlines,FRA,Frankfurt,SFO,San Francisco,FRA-SFO,0,A350-900,315,1349.56
QF,Qantas,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B777-300ER,360,1207.13
AI,Air India,DEL,Delhi,VIE,Vienna,DEL-VIE,1,B777-300ER,360,629.91
AA,American Airlines,JFK,New York,DOH,Doha,JFK-DOH,0,B787-9,290,1585.48
SV,Saudia,JED,Jeddah,FCO,Rome,JED-FCO,0,B787-9,290,1050.99
AV,Avianca,LHR,London,DOH,Doha,LHR-DOH,0,A380-800,489,1648.99
NZ,Air New Zealand,AKL,Auckland,GVA,Geneva,AKL-GVA,0,B787-9,290,1242.14
NZ,Air New Zealand,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,A380-800,489,730.02
DL,Delta Air Lines,JFK,New York,SIN,Singapore,JFK-SIN,0,A380-800,489,994.46
IB,Iberia,LHR,London,LAX,Los Angeles,LHR-LAX,0,B777-300ER,360,855.16
KL,KLM,SIN,Singapore,LHR,London,SIN-LHR,0,A380-800,489,1254.1
U2,easyJet,ZRH,Zurich,LTN,London,ZRH-LTN,1,A220-300,145,108.49
IB,Iberia,CDG,Paris,JFK,New York,CDG-JFK,0,A380-800,489,1547.47
EK,Emirates,DXB,Dubai,KUL,Kuala Lumpur,DXB-KUL,0,A380-800,489,627.53
IB,Iberia,ORD,Chicago,LHR,London,ORD-LHR,0,A380-800,489,700.31
UA,United Airlines,LHR,London,DXB,Dubai,LHR-DXB,0,B787-9,290,1648.53
AZ,ITA Airways,FCO,Rome,ORY,Paris,FCO-ORY,0,A220-300,145,271.68
UA,United Airlines,EWR,Newark,VIE,Vienna,EWR-VIE,0,B777-300ER,360,1673.95
BA,British Airways,JFK,New York,LHR,London,JFK-LHR,0,A380-800,489,797.44
U2,easyJet,LTN,London,ZRH,Zurich,LTN-ZRH,0,B737-800,189,287.23
BR,EVA Air,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,A350-900,315,1695.12
AC,Air Canada,ORY,Paris,YYZ,Toronto,ORY-YYZ,1,A380-800,489,1461.51
FR,Ryanair,SFO,San Francisco,FRA,Frankfurt,SFO-FRA,0,A350-900,315,1726.76
LH,Lufthansa,FRA,Frankfurt,BNE,Brisbane,FRA-BNE,0,B777-300ER,360,1720.58
JL,Japan Airlines,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,A380-800,489,1763.97
SV,Saudia,DXB,Dubai,JFK,New York,DXB-JFK,0,A380-800,489,1785.89
FR,Ryanair,BGY,Milan,SYD,Sydney,BGY-SYD,1,A350-900,315,1105.61
IB,Iberia,MAD,Madrid,AMS,Amsterdam,MAD-AMS,0,A321,220,172.44
EK,Emirates,DXB,Dubai,SYD,Sydney,DXB-SYD,0,A380-800,489,829.39
EY,Etihad Airways,AUH,Abu Dhabi,STN,London,AUH-STN,1,B787-9,290,853.43
QF,Qantas,MEL,Melbourne,IAH,Houston,MEL-IAH,0,B787-9,290,1147.2
LX,SWISS,ZRH,Zurich,FRA,Frankfurt,ZRH-FRA,0,A220-300,145,157.38
IB,Iberia,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B777-300ER,360,1114.06
FR,Ryanair,STN,London,SIN,Singapore,STN-SIN,0,A350-900,315,1123.05
BA,British Airways,FRA,Frankfurt,LHR,London,FRA-LHR,1,B737-800,189,235.07
AA,American Airlines,DXB,Dubai,MEL,Melbourne,DXB-MEL,0,B787-9,290,724.57
EY,Etihad Airways,CDG,Paris,JFK,New York,CDG-JFK,0,B787-9,290,1195.69
BA,British Airways,DFW,Dallas,BCN,Barcelona,DFW-BCN,1,B787-9,290,1457.55
AZ,ITA Airways,IST,Istanbul,LIN,Milan,IST-LIN,1,A220-300,145,109.36
EY,Etihad Airways,AUH,Abu Dhabi,HND,Tokyo,AUH-HND,0,A380-800,489,1552.5
AV,Avianca,BOG,Bogota,FCO,Rome,BOG-FCO,0,A380-800,489,1444.6
QR,Qatar Airways,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,A380-800,489,868.72
BR,EVA Air,TPE,Taipei,MEL,Melbourne,TPE-MEL,0,B777-300ER,360,968.88
TK,Turkish Airlines,DTW,Detroit,CPT,Cape Town,DTW-CPT,1,A380-800,489,1443.87
AA,American Airlines,LAX,Los Angeles,BCN,Barcelona,LAX-BCN,0,B787-9,290,1580.05
AC,Air Canada,AMS,Amsterdam,ATL,Atlanta,AMS-ATL,0,B777-300ER,360,1791.39
SQ,Singapore Airlines,SIN,Singapore,IST,Istanbul,SIN-IST,0,A350-900,315,1339.52
SQ,Singapore Airlines,LHR,London,SIN,Singapore,LHR-SIN,0,A380-800,489,1293.42
UA,United Airlines,ORD,Chicago,AUH,Abu Dhabi,ORD-AUH,0,A350-900,315,1473.74
IB,Iberia,LAX,Los Angeles,MAD,Madrid,LAX-MAD,1,A380-800,489,969.59
IB,Iberia,STN,London,MAD,Madrid,STN-MAD,1,A321,220,181.61
SV,Saudia,SCL,Santiago,JED,Jeddah,SCL-JED,1,B767-300ER,261,304.33
AI,Air India,DEL,Delhi,CPT,Cape Town,DEL-CPT,0,B787-9,290,1311.95
AA,American Airlines,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,B787-9,290,1766.88
DL,Delta Air Lines,DTW,Detroit,SIN,Singapore,DTW-SIN,0,A380-800,489,1780.1
BR,EVA Air,ORY,Paris,BGY,Milan,ORY-BGY,1,B737-800,189,105.7
IB,Iberia,MSP,Minneapolis,MAD,Madrid,MSP-MAD,1,A350-900,315,928.61
NZ,Air New Zealand,LHR,London,ORD,Chicago,LHR-ORD,0,B787-9,290,1352.93
EY,Etihad Airways,LHR,London,JFK,New York,LHR-JFK,0,B787-9,290,747.22
CX,Cathay Pacific,GVA,Geneva,HKG,Hong Kong,GVA-HKG,1,A350-900,315,646.82
QF,Qantas,BNE,Brisbane,ATL,Atlanta,BNE-ATL,0,B777-300ER,360,720.81
JL,Japan Airlines,HND,Tokyo,SLC,Salt Lake City,HND-SLC,0,B787-9,290,1350.82
AV,Avianca,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,A350-900,315,976.3
JL,Japan Airlines,NRT,Tokyo,MEX,Mexico City,NRT-MEX,0,A380-800,489,612.17
BR,EVA Air,DOH,Doha,JFK,New York,DOH-JFK,0,A350-900,315,1625.77
QF,Qantas,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B787-9,290,1180.69
IB,Iberia,MAD,Madrid,ORY,Paris,MAD-ORY,1,A320,180,100.28
EK,Emirates,JNB,Johannesburg,DXB,Dubai,JNB-DXB,1,A321XLR,200,513.92
KL,KLM,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B777-300ER,360,993.05
LX,SWISS,NRT,Tokyo,STN,London,NRT-STN,1,A350-900,315,663.8
FR,Ryanair,JFK,New York,LHR,London,JFK-LHR,0,A350-900,315,1261.8
AZ,ITA Airways,BNE,Brisbane,FCO,Rome,BNE-FCO,1,B777-300ER,360,1082.34
AV,Avianca,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,A350-900,315,1615.24
NH,ANA,NRT,Tokyo,SIN,Singapore,NRT-SIN,0,B737-800,189,291.61
DL,Delta Air Lines,FRA,Frankfurt,DEL,Delhi,FRA-DEL,1,B777-300ER,360,1322.78
LX,SWISS,DEN,Denver,GVA,Geneva,DEN-GVA,1,A380-800,489,1460.24
QF,Qantas,CPT,Cape Town,BNE,Brisbane,CPT-BNE,1,A380-800,489,971.06
SV,Saudia,JED,Jeddah,YUL,Montreal,JED-YUL,0,B787-9,290,1749.72
LX,SWISS,GVA,Geneva,ADD,Addis Ababa,GVA-ADD,1,B777-300ER,360,1476.46
LA,LATAM Airlines,SCL,Santiago,GIG,Rio de Janeiro,SCL-GIG,0,B737-800,189,167.63
EK,Emirates,YYZ,Toronto,LHR,London,YYZ-LHR,0,A380-800,489,687.17
QF,Qantas,MEL,Melbourne,CPT,Cape Town,MEL-CPT,0,B777-300ER,360,746.76
NH,ANA,AKL,Auckland,HND,Tokyo,AKL-HND,1,B777-300ER,360,786.37
LA,LATAM Airlines,GRU,Sao Paulo,MSP,Minneapolis,GRU-MSP,0,B777-300ER,360,1062.71
JL,Japan Airlines,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,A350-900,315,933.66
EK,Emirates,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,B787-9,290,1418.56
EK,Emirates,DXB,Dubai,IAH,Houston,DXB-IAH,0,A380-800,489,836.55
NH,ANA,LAX,Los Angeles,LHR,London,LAX-LHR,0,A380-800,489,1105.48
