airline_iata,airline_name,source_iata,source_city,destination_iata,destination_city,route,stops,aircraft_type,aircraft_capacity,price_usd
QF,Qantas,SYD,Sydney,DXB,Dubai,SYD-DXB,0,B787-10,330,1049.68
EK,Emirates,DXB,Dubai,LAX,Los Angeles,DXB-LAX,0,B787-9,290,1124.57
QF,Qantas,JFK,New York,CDG,Paris,JFK-CDG,0,B787-10,330,1461.75
KE,Korean Air,ICN,Seoul,DEL,Delhi,ICN-DEL,1,A220-300,145,249.85
LA,LATAM Airlines,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B787-9,290,1167.32
QF,Qantas,SLC,Salt Lake City,NRT,Tokyo,SLC-NRT,1,A350-1000,366,901.24
QR,Qatar Airways,DOH,Doha,SFO,San Francisco,DOH-SFO,0,B787-9,290,1377.68
AZ,ITA Airways,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,B777-200ER,317,1552.28
QR,Qatar Airways,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,A350-900,315,764.95
AV,Avianca,BOM,Mumbai,BOG,Bogota,BOM-BOG,1,B747-8,410,1022.9
NZ,Air New Zealand,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B777-300ER,360,1196.84
AZ,ITA Airways,FCO,Rome,SYD,Sydney,FCO-SYD,1,B787-9,290,1246.85
NZ,Air New Zealand,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B787-10,330,1313.1
IB,Iberia,MAD,Madrid,BKK,Bangkok,MAD-BKK,0,B777-300ER,360,1503.07
SV,Saudia,LHR,London,JFK,New York,LHR-JFK,0,A350-900,315,976.83
AF,Air France,YVR,Vancouver,LHR,London,YVR-LHR,0,A350-900,315,1777.81
IB,Iberia,SYD,Sydney,DXB,Dubai,SYD-DXB,0,A380-800,489,781.03
QF,Qantas,MXP,Milan,STN,London,MXP-STN,1,A320,180,169.89
LA,LATAM Airlines,DXB,Dubai,JFK,New York,DXB-JFK,0,A350-900,315,1443.81
NZ,Air New Zealand,JFK,New York,CDG,Paris,JFK-CDG,0,B787-10,330,1434.1
BA,British Airways,LHR,London,ADD,Addis Ababa,LHR-ADD,0,A330-300,277,278.8
JL,Japan Airlines,HND,Tokyo,DUB,Dublin,HND-DUB,0,A350-1000,366,1187.26
SQ,Singapore Airlines,LIN,Milan,SIN,Singapore,LIN-SIN,1,A350-1000,366,796.66
NH,ANA,HND,Tokyo,BOG,Bogota,HND-BOG,0,B787-10,330,1355.09
LA,LATAM Airlines,SYD,Sydney,SIN,Singapore,SYD-SIN,0,B787-9,290,1447.53
KE,Korean Air,AMS,Amsterdam,JFK,New York,AMS-JFK,0,A350-900,315,1266.6
TK,Turkish Airlines,IST,Istanbul,NRT,Tokyo,IST-NRT,0,A350-900,315,1674.7
CX,Cathay Pacific,ICN,Seoul,LAX,Los Angeles,ICN-LAX,0,A350-900,315,1466.26
QR,Qatar Airways,DOH,Doha,ORY,Paris,DOH-ORY,1,A330-300,277,677.0
AI,Air India,BKK,Bangkok,CDG,Paris,BKK-CDG,1,B777-300ER,360,1282.46
SV,Saudia,FRA,Frankfurt,DXB,Dubai,FRA-DXB,0,B757-200,200,461.98
KE,Korean Air,DFW,Dallas,ICN,Seoul,DFW-ICN,1,B747-8,410,1590.02
KE,Korean Air,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,B747-8,410,1143.46
DL,Delta Air Lines,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,A380-800,489,1217.87
QR,Qatar Airways,DXB,Dubai,SYD,Sydney,DXB-SYD,0,A350-900,315,1904.9
LX,SWISS,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,A350-900,315,1681.97
AC,Air Canada,ATL,Atlanta,AMS,Amsterdam,ATL-AMS,0,B747-8,410,1718.92
EK,Emirates,DXB,Dubai,DEN,Denver,DXB-DEN,0,B787-10,330,1650.1
KL,KLM,AMS,Amsterdam,DUB,Dublin,AMS-DUB,0,A320,180,176.0
LA,LATAM Airlines,SCL,Santiago,MEL,Melbourne,SCL-MEL,0,B777-300ER,360,1096.23
EK,Emirates,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,A380-800,489,875.04
U2,easyJet,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B747-8,410,1560.2
CX,Cathay Pacific,HKG,Hong Kong,ORY,Paris,HKG-ORY,0,A380-800,489,737.92
KL,KLM,FCO,Rome,LAX,Los Angeles,FCO-LAX,1,A350-1000,366,911.44
LX,SWISS,ADD,Addis Ababa,YUL,Montreal,ADD-YUL,1,B777-200ER,317,1906.82
JL,Japan Airlines,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,A350-900,315,810.59
QR,Qatar Airways,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B747-8,410,1495.85
AV,Avianca,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,B747-8,410,943.74
BA,British Airways,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B787-10,330,649.08
DL,Delta Air Lines,SFO,San Francisco,DTW,Detroit,SFO-DTW,1,A320neo,186,221.65
KE,Korean Air,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,B787-10,330,1502.08
DL,Delta Air Lines,JFK,New York,MUC,Munich,JFK-MUC,1,B787-10,330,648.72
UA,United Airlines,EWR,Newark,LGW,London,EWR-LGW,0,B747-8,410,732.15
SQ,Singapore Airlines,SIN,Singapore,MXP,Milan,SIN-MXP,1,B747-8,410,1306.72
KL,KLM,AMS,Amsterdam,MXP,Milan,AMS-MXP,1,A321,220,229.23
KE,Korean Air,LHR,London,YYZ,Toronto,LHR-YYZ,0,B777-200ER,317,907.69
LH,Lufthansa,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B787-10,330,1323.08
DL,Delta Air Lines,SLC,Salt Lake City,RUH,Riyadh,SLC-RUH,1,B787-9,290,1027.28
UA,United Airlines,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B777-200ER,317,817.17
FR,Ryanair,CDG,Paris,YUL,Montreal,CDG-YUL,0,B787-10,330,860.68
DL,Delta Air Lines,YVR,Vancouver,LHR,London,YVR-LHR,0,B787-10,330,1652.41
QR,Qatar Airways,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B777-200ER,317,832.15
KL,KLM,AMS,Amsterdam,CPT,Cape Town,AMS-CPT,0,A330-300,277,767.45
JL,Japan Airlines,DOH,Doha,LHR,London,DOH-LHR,0,B787-8,242,981.44
AV,Avianca,BOG,Bogota,AUH,Abu Dhabi,BOG-AUH,0,A350-900,315,1323.2
NH,ANA,DXB,Dubai,MEL,Melbourne,DXB-MEL,0,B747-8,410,669.37
NZ,Air New Zealand,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,A350-1000,366,1692.72
QR,Qatar Airways,IST,Istanbul,MAD,Madrid,IST-MAD,1,B737-800,189,242.4
LH,Lufthansa,VIE,Vienna,SIN,Singapore,VIE-SIN,0,B777-300ER,360,738.32
BR,EVA Air,ICN,Seoul,LAX,Los Angeles,ICN-LAX,0,B777-300ER,360,1157.3
U2,easyJet,HKG,Hong Kong,SFO,San Francisco,HKG-SFO,0,B777-200ER,317,848.51
TK,Turkish Airlines,IST,Istanbul,TPE,Taipei,IST-TPE,0,A380-800,489,1737.84
QF,Qantas,SYD,Sydney,BCN,Barcelona,SYD-BCN,1,A380-800,489,998.23
NZ,Air New Zealand,AMS,Amsterdam,JFK,New York,AMS-JFK,0,B777-200ER,317,1820.19
NZ,Air New Zealand,JFK,New York,AMS,Amsterdam,JFK-AMS,0,B787-10,330,1418.36
AC,Air Canada,SFO,San Francisco,FRA,Frankfurt,SFO-FRA,0,A350-900,315,1242.12
NZ,Air New Zealand,AKL,Auckland,JNB,Johannesburg,AKL-JNB,0,B787-10,330,1006.71
SQ,Singapore Airlines,SIN,Singapore,AMS,Amsterdam,SIN-AMS,0,B747-8,410,1512.1
KL,KLM,FRA,Frankfurt,SFO,San Francisco,FRA-SFO,0,B747-8,410,975.65
EK,Emirates,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,B777-200ER,317,1491.9
AA,American Airlines,JNB,Johannesburg,JFK,New York,JNB-JFK,1,B787-9,290,626.5
KE,Korean Air,CDG,Paris,JFK,New York,CDG-JFK,0,A350-900,315,1672.49
U2,easyJet,MXP,Milan,BNE,Brisbane,MXP-BNE,0,B747-8,410,499.01
KL,KLM,LHR,London,JFK,New York,LHR-JFK,0,B777-200ER,317,1204.59
AV,Avianca,BOG,Bogota,DEL,Delhi,BOG-DEL,0,B787-9,290,1280.29
LA,LATAM Airlines,STN,London,KUL,Kuala Lumpur,STN-KUL,1,B777-200ER,317,960.59
AC,Air Canada,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B777-200ER,317,1146.35
U2,easyJet,CDG,Paris,DTW,Detroit,CDG-DTW,0,A350-1000,366,1349.25
DL,Delta Air Lines,MUC,Munich,ICN,Seoul,MUC-ICN,1,A350-900,315,1122.03
LX,SWISS,LIM,Lima,GVA,Geneva,LIM-GVA,1,B777-300ER,360,1516.75
AA,American Airlines,ORD,Chicago,HKG,Hong Kong,ORD-HKG,0,B777-300ER,360,1604.28
EY,Etihad Airways,JED,Jeddah,SCL,Santiago,JED-SCL,1,A350-1000,366,768.06
FR,Ryanair,DUB,Dublin,BNE,Brisbane,DUB-BNE,0,B747-8,410,1549.94
EK,Emirates,DXB,Dubai,VIE,Vienna,DXB-VIE,0,A330-300,277,809.17
AV,Avianca,BOM,Mumbai,BOG,Bogota,BOM-BOG,1,B777-300ER,360,1545.33
IB,Iberia,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,A350-900,315,1539.53
AV,Avianca,BOG,Bogota,DFW,Dallas,BOG-DFW,0,A321XLR,200,879.93
AZ,ITA Airways,LIN,Milan,BOM,Mumbai,LIN-BOM,0,A350-1000,366,1332.43
KE,Korean Air,ICN,Seoul,AKL,Auckland,ICN-AKL,0,B777-200ER,317,1334.73
BR,EVA Air,LIN,Milan,GVA,Geneva,LIN-GVA,1,A320neo,186,214.45
AF,Air France,CDG,Paris,RUH,Riyadh,CDG-RUH,0,B787-8,242,683.27
AI,Air India,CDG,Paris,YUL,Montreal,CDG-YUL,0,B787-10,330,691.31
CX,Cathay Pacific,HKG,Hong Kong,STN,London,HKG-STN,0,B787-10,330,1316.19
AI,Air India,DEL,Delhi,DXB,Dubai,DEL-DXB,0,A330-300,277,342.84
LX,SWISS,ZRH,Zurich,ADD,Addis Ababa,ZRH-ADD,0,B737 MAX 9,193,778.87
IB,Iberia,MAD,Madrid,BKK,Bangkok,MAD-BKK,0,B787-9,290,1587.61
BA,British Airways,LHR,London,NBO,Nairobi,LHR-NBO,0,A330-200,246,381.33
EK,Emirates,JFK,New York,DOH,Doha,JFK-DOH,0,A350-1000,366,1258.72
DL,Delta Air Lines,YYZ,Toronto,LHR,London,YYZ-LHR,0,B777-300ER,360,1573.51
QR,Qatar Airways,LHR,London,DXB,Dubai,LHR-DXB,0,A330-200,246,358.74
AC,Air Canada,MSP,Minneapolis,TPE,Taipei,MSP-TPE,1,B787-10,330,1182.34
BA,British Airways,FRA,Frankfurt,DXB,Dubai,FRA-DXB,0,B737 MAX 9,193,412.27
IB,Iberia,MAD,Madrid,FCO,Rome,MAD-FCO,0,B737 MAX 8,178,308.56
NZ,Air New Zealand,SIN,Singapore,LHR,London,SIN-LHR,0,B787-9,290,811.93
U2,easyJet,ZRH,Zurich,DOH,Doha,ZRH-DOH,1,A330-200,246,534.58
KL,KLM,MAD,Madrid,AMS,Amsterdam,MAD-AMS,1,A319,138,200.8
DL,Delta Air Lines,LAX,Los Angeles,DEN,Denver,LAX-DEN,0,B737-800,189,231.13
KE,Korean Air,ICN,Seoul,JED,Jeddah,ICN-JED,0,B767-300ER,261,418.3
BR,EVA Air,CAI,Cairo,LGW,London,CAI-LGW,1,A321LR,206,334.03
AV,Avianca,LHR,London,SIN,Singapore,LHR-SIN,0,B777-200ER,317,1183.6
EK,Emirates,JNB,Johannesburg,DXB,Dubai,JNB-DXB,1,B777-200ER,317,1762.48
NH,ANA,LAX,Los Angeles,LHR,London,LAX-LHR,0,A350-900,315,1686.2
EK,Emirates,DXB,Dubai,DEL,Delhi,DXB-DEL,0,A321XLR,200,513.66
TK,Turkish Airlines,IST,Istanbul,MAD,Madrid,IST-MAD,0,B737-800,189,183.74
AF,Air France,CDG,Paris,JNB,Johannesburg,CDG-JNB,1,A321LR,206,439.53
AC,Air Canada,ICN,Seoul,NRT,Tokyo,ICN-NRT,1,A321,220,358.49
TK,Turkish Airlines,DXB,Dubai,IST,Istanbul,DXB-IST,1,A330-300,277,355.91
IB,Iberia,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B747-8,410,1136.81
QR,Qatar Airways,JFK,New York,LHR,London,JFK-LHR,0,B787-9,290,782.33
DL,Delta Air Lines,BOM,Mumbai,DTW,Detroit,BOM-DTW,1,B747-8,410,1537.13
SQ,Singapore Airlines,DXB,Dubai,LHR,London,DXB-LHR,0,A321LR,206,513.47
EK,Emirates,ORD,Chicago,DXB,Dubai,ORD-DXB,1,B747-8,410,830.06
EK,Emirates,AMS,Amsterdam,JFK,New York,AMS-JFK,0,A350-900,315,1969.6
AZ,ITA Airways,FCO,Rome,AMS,Amsterdam,FCO-AMS,1,E190,100,156.43
BA,British Airways,LGW,London,SFO,San Francisco,LGW-SFO,0,A350-1000,366,1096.97
AV,Avianca,ATL,Atlanta,LIN,Milan,ATL-LIN,1,A380-800,489,1003.94
AC,Air Canada,ORD,Chicago,LHR,London,ORD-LHR,0,B787-10,330,708.9
KE,Korean Air,ICN,Seoul,MEL,Melbourne,ICN-MEL,0,B777-200ER,317,1559.84
EY,Etihad Airways,ICN,Seoul,SFO,San Francisco,ICN-SFO,0,B777-200ER,317,1535.02
EK,Emirates,FRA,Frankfurt,DXB,Dubai,FRA-DXB,0,B767-300ER,261,586.07
KE,Korean Air,ICN,Seoul,SIN,Singapore,ICN-SIN,0,A320neo,186,302.44
BR,EVA Air,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B747-8,410,896.56
BA,British Airways,LIN,Milan,CPT,Cape Town,LIN-CPT,1,B737 MAX 9,193,440.32
LA,LATAM Airlines,JFK,New York,AMS,Amsterdam,JFK-AMS,0,B777-300ER,360,1261.32
BA,British Airways,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,B747-8,410,1541.21
IB,Iberia,VIE,Vienna,MEX,Mexico City,VIE-MEX,1,B787-9,290,1060.45
AV,Avianca,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,B777-300ER,360,1516.9
AZ,ITA Airways,MSP,Minneapolis,YYZ,Toronto,MSP-YYZ,1,A319,138,210.98
KE,Korean Air,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,A350-1000,366,1552.49
TK,Turkish Airlines,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,A350-900,315,1275.15
AI,Air India,DEL,Delhi,TPE,Taipei,DEL-TPE,1,E190,100,96.25
SV,Saudia,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B787-10,330,785.15
AF,Air France,LAX,Los Angeles,CDG,Paris,LAX-CDG,1,A380-800,489,779.92
AZ,ITA Airways,ADD,Addis Ababa,LIN,Milan,ADD-LIN,1,B787-8,242,665.68
IB,Iberia,YVR,Vancouver,LHR,London,YVR-LHR,0,A350-900,315,1226.0
QR,Qatar Airways,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B747-8,410,1335.55
UA,United Airlines,MIA,Miami,VIE,Vienna,MIA-VIE,1,A350-900,315,1073.77
JL,Japan Airlines,MSP,Minneapolis,HND,Tokyo,MSP-HND,1,B777-300ER,360,1220.76
KE,Korean Air,ICN,Seoul,CDG,Paris,ICN-CDG,0,B777-300ER,360,998.11
DL,Delta Air Lines,AMS,Amsterdam,JFK,New York,AMS-JFK,0,B777-300ER,360,1641.61
SQ,Singapore Airlines,SIN,Singapore,VIE,Vienna,SIN-VIE,0,B747-8,410,1101.29
SV,Saudia,JFK,New York,AMS,Amsterdam,JFK-AMS,0,B777-300ER,360,921.58
NH,ANA,YVR,Vancouver,LHR,London,YVR-LHR,0,A380-800,489,1818.08
KL,KLM,AMS,Amsterdam,BOM,Mumbai,AMS-BOM,0,B777-200ER,317,1973.96
BA,British Airways,FRA,Frankfurt,MIA,Miami,FRA-MIA,1,B777-300ER,360,633.2
UA,United Airlines,JFK,New York,DXB,Dubai,JFK-DXB,0,B747-8,410,1476.52
SQ,Singapore Airlines,SIN,Singapore,JFK,New York,SIN-JFK,0,A350-1000,366,986.77
AF,Air France,ORY,Paris,MUC,Munich,ORY-MUC,0,B737-800,189,130.91
AC,Air Canada,YUL,Montreal,LGW,London,YUL-LGW,0,A350-1000,366,951.81
LA,LATAM Airlines,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,A350-1000,366,1182.51
U2,easyJet,JFK,New York,DXB,Dubai,JFK-DXB,0,A380-800,489,850.23
NH,ANA,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,A350-900,315,680.89
SQ,Singapore Airlines,SIN,Singapore,YUL,Montreal,SIN-YUL,0,A350-900,315,1383.83
AF,Air France,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,B747-8,410,1195.68
LA,LATAM Airlines,ORD,Chicago,LHR,London,ORD-LHR,0,B777-300ER,360,975.54
QF,Qantas,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B787-10,330,1420.34
SV,Saudia,RUH,Riyadh,GVA,Geneva,RUH-GVA,0,A321LR,206,752.14
EK,Emirates,DXB,Dubai,ADD,Addis Ababa,DXB-ADD,0,A350-900,315,1749.88
AA,American Airlines,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,A380-800,489,1454.35
NZ,Air New Zealand,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B777-300ER,360,1564.76
AZ,ITA Airways,FCO,Rome,CLT,Charlotte,FCO-CLT,0,B787-10,330,1585.63
EY,Etihad Airways,HND,Tokyo,ICN,Seoul,HND-ICN,1,A220-300,145,346.01
U2,easyJet,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,A350-900,315,1382.17
FR,Ryanair,CDG,Paris,LAX,Los Angeles,CDG-LAX,0,A350-1000,366,1222.22
BR,EVA Air,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B747-8,410,1530.89
NZ,Air New Zealand,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B787-9,290,1673.39
SV,Saudia,LHR,London,DXB,Dubai,LHR-DXB,0,B757-200,200,376.43
EK,Emirates,ICN,Seoul,SFO,San Francisco,ICN-SFO,0,A380-800,489,1807.3
KE,Korean Air,PHL,Philadelphia,ICN,Seoul,PHL-ICN,1,B787-10,330,1070.39
JL,Japan Airlines,DXB,Dubai,JFK,New York,DXB-JFK,0,B747-8,410,1037.77
EK,Emirates,JFK,New York,LHR,London,JFK-LHR,0,B777-300ER,360,1185.48
AA,American Airlines,DOH,Doha,DFW,Dallas,DOH-DFW,1,B777-300ER,360,1637.62
LH,Lufthansa,FRA,Frankfurt,AKL,Auckland,FRA-AKL,0,B787-9,290,984.24
AI,Air India,DEL,Delhi,SLC,Salt Lake City,DEL-SLC,0,A350-1000,366,593.41
FR,Ryanair,STN,London,MSP,Minneapolis,STN-MSP,0,B777-300ER,360,665.59
LA,LATAM Airlines,MEL,Melbourne,LAX,Los Angeles,MEL-LAX,0,B777-300ER,360,1411.91
BR,EVA Air,TPE,Taipei,STN,London,TPE-STN,0,B777-300ER,360,1036.91
UA,United Airlines,SFO,San Francisco,DXB,Dubai,SFO-DXB,0,A350-900,315,1173.93
AV,Avianca,BOG,Bogota,AUH,Abu Dhabi,BOG-AUH,0,B777-200ER,317,1032.16
LA,LATAM Airlines,JFK,New York,DOH,Doha,JFK-DOH,0,B747-8,410,1542.95
AI,Air India,MIA,Miami,PHL,Philadelphia,MIA-PHL,1,A321,220,260.72
LX,SWISS,LHR,London,IST,Istanbul,LHR-IST,1,A320,180,222.35
LH,Lufthansa,JFK,New York,FRA,Frankfurt,JFK-FRA,0,B787-10,330,756.71
JL,Japan Airlines,NRT,Tokyo,MEX,Mexico City,NRT-MEX,0,A350-1000,366,1321.05
IB,Iberia,BKK,Bangkok,MAD,Madrid,BKK-MAD,1,B777-200ER,317,1509.84
IB,Iberia,SIN,Singapore,SYD,Sydney,SIN-SYD,0,B747-8,410,703.48
EY,Etihad Airways,LHR,London,YVR,Vancouver,LHR-YVR,0,B787-9,290,1251.61
KL,KLM,CDG,Paris,JFK,New York,CDG-JFK,0,B747-8,410,1371.27
LA,LATAM Airlines,ORD,Chicago,LHR,London,ORD-LHR,0,B777-300ER,360,1376.56
JL,Japan Airlines,NRT,Tokyo,LAX,Los Angeles,NRT-LAX,0,B787-9,290,1689.24
BR,EVA Air,TPE,Taipei,CAI,Cairo,TPE-CAI,0,B787-9,290,1226.81
IB,Iberia,CDG,Paris,JFK,New York,CDG-JFK,0,B787-9,290,1543.98
SV,Saudia,HKG,Hong Kong,SFO,San Francisco,HKG-SFO,0,B747-8,410,600.09
NZ,Air New Zealand,SFO,San Francisco,HKG,Hong Kong,SFO-HKG,0,A350-900,315,1778.73
EY,Etihad Airways,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,A380-800,489,1242.2
U2,easyJet,CDG,Paris,BCN,Barcelona,CDG-BCN,0,A220-300,145,294.2
QR,Qatar Airways,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,A380-800,489,867.29
AZ,ITA Airways,FCO,Rome,AKL,Auckland,FCO-AKL,0,A350-900,315,1284.14
AC,Air Canada,FRA,Frankfurt,JFK,New York,FRA-JFK,0,A350-900,315,1802.53
UA,United Airlines,DUB,Dublin,KUL,Kuala Lumpur,DUB-KUL,1,A350-900,315,1163.6
AF,Air France,SCL,Santiago,TPE,Taipei,SCL-TPE,1,B787-9,290,1836.15
AC,Air Canada,FRA,Frankfurt,DXB,Dubai,FRA-DXB,0,B767-300ER,261,656.98
JL,Japan Airlines,HND,Tokyo,JFK,New York,HND-JFK,0,A350-1000,366,1184.5
LX,SWISS,GVA,Geneva,PHL,Philadelphia,GVA-PHL,0,A350-1000,366,2046.84
CX,Cathay Pacific,ICN,Seoul,LAX,Los Angeles,ICN-LAX,0,B787-10,330,734.31
AZ,ITA Airways,JED,Jeddah,DTW,Detroit,JED-DTW,1,B787-9,290,746.74
CX,Cathay Pacific,HKG,Hong Kong,SLC,Salt Lake City,HKG-SLC,0,B747-8,410,1528.37
AZ,ITA Airways,SFO,San Francisco,HKG,Hong Kong,SFO-HKG,0,B787-9,290,772.36
AA,American Airlines,GVA,Geneva,PHL,Philadelphia,GVA-PHL,1,B747-8,410,841.5
KE,Korean Air,ICN,Seoul,RUH,Riyadh,ICN-RUH,0,A321LR,206,392.98
LH,Lufthansa,FRA,Frankfurt,ZRH,Zurich,FRA-ZRH,1,A321,220,300.5
QF,Qantas,JFK,New York,DOH,Doha,JFK-DOH,0,B777-200ER,317,1043.63
U2,easyJet,DEN,Denver,BCN,Barcelona,DEN-BCN,1,A350-1000,366,841.32
LX,SWISS,BOM,Mumbai,DEL,Delhi,BOM-DEL,1,A320neo,186,253.63
LA,LATAM Airlines,LIM,Lima,IAH,Houston,LIM-IAH,0,A330-300,277,857.99
EK,Emirates,DXB,Dubai,DEL,Delhi,DXB-DEL,0,A330-300,277,778.9
LX,SWISS,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,B777-300ER,360,1255.67
AZ,ITA Airways,JFK,New York,DOH,Doha,JFK-DOH,0,B747-8,410,802.11
EY,Etihad Airways,AUH,Abu Dhabi,CAI,Cairo,AUH-CAI,1,A350-900,315,1662.74
U2,easyJet,LTN,London,AMS,Amsterdam,LTN-AMS,0,E190,100,182.09
CX,Cathay Pacific,HKG,Hong Kong,MAD,Madrid,HKG-MAD,0,A350-1000,366,969.35
KL,KLM,AMS,Amsterdam,ATL,Atlanta,AMS-ATL,1,B787-10,330,1569.53
FR,Ryanair,STN,London,SFO,San Francisco,STN-SFO,0,A350-1000,366,520.46
U2,easyJet,LHR,London,YYZ,Toronto,LHR-YYZ,0,B787-9,290,1318.98
KL,KLM,MEL,Melbourne,LAX,Los Angeles,MEL-LAX,0,A350-1000,366,1346.68
AZ,ITA Airways,LIN,Milan,GIG,Rio de Janeiro,LIN-GIG,1,B777-200ER,317,831.27
AI,Air India,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,B757-200,200,769.89
EK,Emirates,DXB,Dubai,RUH,Riyadh,DXB-RUH,0,A220-300,145,385.55
BA,British Airways,LGW,London,MXP,Milan,LGW-MXP,0,A321,220,196.06
SQ,Singapore Airlines,SIN,Singapore,BKK,Bangkok,SIN-BKK,1,B737 MAX 8,178,303.27
EY,Etihad Airways,GIG,Rio de Janeiro,CPT,Cape Town,GIG-CPT,1,B777-200ER,317,1023.94
LA,LATAM Airlines,AMS,Amsterdam,ATL,Atlanta,AMS-ATL,0,B747-8,410,761.5
UA,United Airlines,SLC,Salt Lake City,ORD,Chicago,SLC-ORD,1,A220-300,145,239.73
AA,American Airlines,JFK,New York,MXP,Milan,JFK-MXP,0,B777-200ER,317,1122.77
UA,United Airlines,ORD,Chicago,LHR,London,ORD-LHR,0,A350-1000,366,1345.87
IB,Iberia,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,A380-800,489,881.99
LX,SWISS,DFW,Dallas,GVA,Geneva,DFW-GVA,1,A350-1000,366,1134.44
CX,Cathay Pacific,HKG,Hong Kong,EWR,Newark,HKG-EWR,0,B777-200ER,317,1080.4
LX,SWISS,GVA,Geneva,DOH,Doha,GVA-DOH,0,B787-8,242,653.16
AA,American Airlines,LAX,Los Angeles,DUB,Dublin,LAX-DUB,0,B777-200ER,317,850.08
TK,Turkish Airlines,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,B747-8,410,881.39
UA,United Airlines,LAX,Los Angeles,MEX,Mexico City,LAX-MEX,0,A319,138,240.2
KE,Korean Air,SIN,Singapore,DOH,Doha,SIN-DOH,1,A321XLR,200,884.59
LX,SWISS,NBO,Nairobi,GVA,Geneva,NBO-GVA,1,B767-300ER,261,321.92
SQ,Singapore Airlines,SFO,San Francisco,HKG,Hong Kong,SFO-HKG,0,A350-900,315,710.53
EK,Emirates,FCO,Rome,LHR,London,FCO-LHR,1,B737 MAX 8,178,110.49
LA,LATAM Airlines,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,B787-8,242,582.38
NH,ANA,CDG,Paris,YUL,Montreal,CDG-YUL,0,A380-800,489,686.77
AF,Air France,CDG,Paris,ORY,Paris,CDG-ORY,1,B737-800,189,216.83
LX,SWISS,ZRH,Zurich,ADD,Addis Ababa,ZRH-ADD,0,B767-300ER,261,953.71
LA,LATAM Airlines,MXP,Milan,MEL,Melbourne,MXP-MEL,1,B787-10,330,1406.47
CX,Cathay Pacific,HKG,Hong Kong,DXB,Dubai,HKG-DXB,0,A330-200,246,822.54
NH,ANA,LAX,Los Angeles,CDG,Paris,LAX-CDG,0,A380-800,489,849.18
CX,Cathay Pacific,HKG,Hong Kong,MAD,Madrid,HKG-MAD,0,B747-8,410,1571.48
LA,LATAM Airlines,GRU,Sao Paulo,PHL,Philadelphia,GRU-PHL,1,B757-200,200,368.32
EK,Emirates,DXB,Dubai,LIN,Milan,DXB-LIN,0,A321LR,206,342.3
TK,Turkish Airlines,JFK,New York,LHR,London,JFK-LHR,0,B747-8,410,589.95
JL,Japan Airlines,DXB,Dubai,LHR,London,DXB-LHR,0,B737 MAX 9,193,362.85
NH,ANA,NRT,Tokyo,ICN,Seoul,NRT-ICN,0,B737 MAX 8,178,278.79
